Country/Region,Date,all_cases
Philippines,2020-01-22,0
Philippines,2020-01-23,0
Philippines,2020-01-24,0
Philippines,2020-01-25,0
Philippines,2020-01-26,0
Philippines,2020-01-27,0
Philippines,2020-01-28,0
Philippines,2020-01-29,0
Philippines,2020-01-30,0
Philippines,2020-01-31,0
Philippines,2020-02-01,0
Philippines,2020-02-02,1
Philippines,2020-02-03,1
Philippines,2020-02-04,1
Philippines,2020-02-05,1
Philippines,2020-02-06,1
Philippines,2020-02-07,1
Philippines,2020-02-08,1
Philippines,2020-02-09,1
Philippines,2020-02-10,1
Philippines,2020-02-11,1
Philippines,2020-02-12,1
Philippines,2020-02-13,1
Philippines,2020-02-14,1
Philippines,2020-02-15,1
Philippines,2020-02-16,1
Philippines,2020-02-17,1
Philippines,2020-02-18,1
Philippines,2020-02-19,1
Philippines,2020-02-20,1
Philippines,2020-02-21,1
Philippines,2020-02-22,1
Philippines,2020-02-23,1
Philippines,2020-02-24,1
Philippines,2020-02-25,1
Philippines,2020-02-26,1
Philippines,2020-02-27,1
Philippines,2020-02-28,1
Philippines,2020-02-29,1
Philippines,2020-03-01,1
Philippines,2020-03-02,1
Philippines,2020-03-03,1
Philippines,2020-03-04,1
Philippines,2020-03-05,1
Philippines,2020-03-06,1
Philippines,2020-03-07,1
Philippines,2020-03-08,1
Philippines,2020-03-09,1
Philippines,2020-03-10,1
Philippines,2020-03-11,1
Philippines,2020-03-12,2
Philippines,2020-03-13,5
Philippines,2020-03-14,8
Philippines,2020-03-15,11
Philippines,2020-03-16,12
Philippines,2020-03-17,12
Philippines,2020-03-18,19
Philippines,2020-03-19,17
Philippines,2020-03-20,18
Philippines,2020-03-21,19
Philippines,2020-03-22,25
