Country/Region,Date,all_cases
Cote d'Ivoire,2020-01-22,0
Cote d'Ivoire,2020-01-23,0
Cote d'Ivoire,2020-01-24,0
Cote d'Ivoire,2020-01-25,0
Cote d'Ivoire,2020-01-26,0
Cote d'Ivoire,2020-01-27,0
Cote d'Ivoire,2020-01-28,0
Cote d'Ivoire,2020-01-29,0
Cote d'Ivoire,2020-01-30,0
Cote d'Ivoire,2020-01-31,0
Cote d'Ivoire,2020-02-01,0
Cote d'Ivoire,2020-02-02,0
Cote d'Ivoire,2020-02-03,0
Cote d'Ivoire,2020-02-04,0
Cote d'Ivoire,2020-02-05,0
Cote d'Ivoire,2020-02-06,0
Cote d'Ivoire,2020-02-07,0
Cote d'Ivoire,2020-02-08,0
Cote d'Ivoire,2020-02-09,0
Cote d'Ivoire,2020-02-10,0
Cote d'Ivoire,2020-02-11,0
Cote d'Ivoire,2020-02-12,0
Cote d'Ivoire,2020-02-13,0
Cote d'Ivoire,2020-02-14,0
Cote d'Ivoire,2020-02-15,0
Cote d'Ivoire,2020-02-16,0
Cote d'Ivoire,2020-02-17,0
Cote d'Ivoire,2020-02-18,0
Cote d'Ivoire,2020-02-19,0
Cote d'Ivoire,2020-02-20,0
Cote d'Ivoire,2020-02-21,0
Cote d'Ivoire,2020-02-22,0
Cote d'Ivoire,2020-02-23,0
Cote d'Ivoire,2020-02-24,0
Cote d'Ivoire,2020-02-25,0
Cote d'Ivoire,2020-02-26,0
Cote d'Ivoire,2020-02-27,0
Cote d'Ivoire,2020-02-28,0
Cote d'Ivoire,2020-02-29,0
Cote d'Ivoire,2020-03-01,0
Cote d'Ivoire,2020-03-02,0
Cote d'Ivoire,2020-03-03,0
Cote d'Ivoire,2020-03-04,0
Cote d'Ivoire,2020-03-05,0
Cote d'Ivoire,2020-03-06,0
Cote d'Ivoire,2020-03-07,0
Cote d'Ivoire,2020-03-08,0
Cote d'Ivoire,2020-03-09,0
Cote d'Ivoire,2020-03-10,0
Cote d'Ivoire,2020-03-11,1
Cote d'Ivoire,2020-03-12,1
Cote d'Ivoire,2020-03-13,1
Cote d'Ivoire,2020-03-14,1
Cote d'Ivoire,2020-03-15,1
Cote d'Ivoire,2020-03-16,1
Cote d'Ivoire,2020-03-17,5
Cote d'Ivoire,2020-03-18,6
Cote d'Ivoire,2020-03-19,9
Cote d'Ivoire,2020-03-20,9
Cote d'Ivoire,2020-03-21,14
Cote d'Ivoire,2020-03-22,14
Cote d'Ivoire,2020-03-23,14
