Country/Region,Date,all_cases
Iraq,2020-01-22,0
Iraq,2020-01-23,0
Iraq,2020-01-24,0
Iraq,2020-01-25,0
Iraq,2020-01-26,0
Iraq,2020-01-27,0
Iraq,2020-01-28,0
Iraq,2020-01-29,0
Iraq,2020-01-30,0
Iraq,2020-01-31,0
Iraq,2020-02-01,0
Iraq,2020-02-02,0
Iraq,2020-02-03,0
Iraq,2020-02-04,0
Iraq,2020-02-05,0
Iraq,2020-02-06,0
Iraq,2020-02-07,0
Iraq,2020-02-08,0
Iraq,2020-02-09,0
Iraq,2020-02-10,0
Iraq,2020-02-11,0
Iraq,2020-02-12,0
Iraq,2020-02-13,0
Iraq,2020-02-14,0
Iraq,2020-02-15,0
Iraq,2020-02-16,0
Iraq,2020-02-17,0
Iraq,2020-02-18,0
Iraq,2020-02-19,0
Iraq,2020-02-20,0
Iraq,2020-02-21,0
Iraq,2020-02-22,0
Iraq,2020-02-23,0
Iraq,2020-02-24,1
Iraq,2020-02-25,1
Iraq,2020-02-26,5
Iraq,2020-02-27,7
Iraq,2020-02-28,7
Iraq,2020-02-29,13
Iraq,2020-03-01,19
Iraq,2020-03-02,26
Iraq,2020-03-03,32
Iraq,2020-03-04,35
Iraq,2020-03-05,35
Iraq,2020-03-06,40
Iraq,2020-03-07,54
Iraq,2020-03-08,60
Iraq,2020-03-09,60
Iraq,2020-03-10,71
Iraq,2020-03-11,71
Iraq,2020-03-12,71
Iraq,2020-03-13,101
Iraq,2020-03-14,110
Iraq,2020-03-15,116
Iraq,2020-03-16,124
Iraq,2020-03-17,154
Iraq,2020-03-18,164
Iraq,2020-03-19,192
Iraq,2020-03-20,208
