Country/Region,Date,all_cases
Vietnam,2020-01-22,0
Vietnam,2020-01-23,2
Vietnam,2020-01-24,2
Vietnam,2020-01-25,2
Vietnam,2020-01-26,2
Vietnam,2020-01-27,2
Vietnam,2020-01-28,2
Vietnam,2020-01-29,2
Vietnam,2020-01-30,2
Vietnam,2020-01-31,2
Vietnam,2020-02-01,6
Vietnam,2020-02-02,6
Vietnam,2020-02-03,8
Vietnam,2020-02-04,8
Vietnam,2020-02-05,8
Vietnam,2020-02-06,10
Vietnam,2020-02-07,10
Vietnam,2020-02-08,13
Vietnam,2020-02-09,13
Vietnam,2020-02-10,14
Vietnam,2020-02-11,15
Vietnam,2020-02-12,15
Vietnam,2020-02-13,16
Vietnam,2020-02-14,16
Vietnam,2020-02-15,16
Vietnam,2020-02-16,16
Vietnam,2020-02-17,16
Vietnam,2020-02-18,16
Vietnam,2020-02-19,16
Vietnam,2020-02-20,16
Vietnam,2020-02-21,16
Vietnam,2020-02-22,16
Vietnam,2020-02-23,16
Vietnam,2020-02-24,16
Vietnam,2020-02-25,16
Vietnam,2020-02-26,16
Vietnam,2020-02-27,16
Vietnam,2020-02-28,16
Vietnam,2020-02-29,16
Vietnam,2020-03-01,16
Vietnam,2020-03-02,16
Vietnam,2020-03-03,16
Vietnam,2020-03-04,16
Vietnam,2020-03-05,16
Vietnam,2020-03-06,16
Vietnam,2020-03-07,18
Vietnam,2020-03-08,30
Vietnam,2020-03-09,30
Vietnam,2020-03-10,31
Vietnam,2020-03-11,38
Vietnam,2020-03-12,39
Vietnam,2020-03-13,47
Vietnam,2020-03-14,53
Vietnam,2020-03-15,56
Vietnam,2020-03-16,61
Vietnam,2020-03-17,66
Vietnam,2020-03-18,75
Vietnam,2020-03-19,85
Vietnam,2020-03-20,91
Vietnam,2020-03-21,94
Vietnam,2020-03-22,113
