Country/Region,Date,all_cases
Switzerland,2020-01-22,0
Switzerland,2020-01-23,0
Switzerland,2020-01-24,0
Switzerland,2020-01-25,0
Switzerland,2020-01-26,0
Switzerland,2020-01-27,0
Switzerland,2020-01-28,0
Switzerland,2020-01-29,0
Switzerland,2020-01-30,0
Switzerland,2020-01-31,0
Switzerland,2020-02-01,0
Switzerland,2020-02-02,0
Switzerland,2020-02-03,0
Switzerland,2020-02-04,0
Switzerland,2020-02-05,0
Switzerland,2020-02-06,0
Switzerland,2020-02-07,0
Switzerland,2020-02-08,0
Switzerland,2020-02-09,0
Switzerland,2020-02-10,0
Switzerland,2020-02-11,0
Switzerland,2020-02-12,0
Switzerland,2020-02-13,0
Switzerland,2020-02-14,0
Switzerland,2020-02-15,0
Switzerland,2020-02-16,0
Switzerland,2020-02-17,0
Switzerland,2020-02-18,0
Switzerland,2020-02-19,0
Switzerland,2020-02-20,0
Switzerland,2020-02-21,0
Switzerland,2020-02-22,0
Switzerland,2020-02-23,0
Switzerland,2020-02-24,0
Switzerland,2020-02-25,0
Switzerland,2020-02-26,0
Switzerland,2020-02-27,0
Switzerland,2020-02-28,0
Switzerland,2020-02-29,0
Switzerland,2020-03-01,0
Switzerland,2020-03-02,0
Switzerland,2020-03-03,2
Switzerland,2020-03-04,3
Switzerland,2020-03-05,3
Switzerland,2020-03-06,3
Switzerland,2020-03-07,3
Switzerland,2020-03-08,3
Switzerland,2020-03-09,3
Switzerland,2020-03-10,3
Switzerland,2020-03-11,4
Switzerland,2020-03-12,4
Switzerland,2020-03-13,4
Switzerland,2020-03-14,4
Switzerland,2020-03-15,4
Switzerland,2020-03-16,4
Switzerland,2020-03-17,4
Switzerland,2020-03-18,15
Switzerland,2020-03-19,15
Switzerland,2020-03-20,15
Switzerland,2020-03-21,15
Switzerland,2020-03-22,131
